,ID,UMIN_ID,Japic_ID,JMA_ID,jRCT_ID
14784,JapicCTI-163153,,JapicCTI-163153,,
17198,UMIN000035158,UMIN000035158,,,
17261,UMIN000035066,UMIN000035066,,,
17299,UMIN000035010,UMIN000035010,,,
17389,UMIN000035033,UMIN000035033,,,
17489,UMIN000034906,UMIN000034906,,,
17691,UMIN000034081,UMIN000034081,,,
17995,UMIN000034434,UMIN000034434,,,
18065,UMIN000034237,UMIN000034237,,,
18066,UMIN000034238,UMIN000034238,,,
18401,UMIN000034063,UMIN000034063,,,
18477,UMIN000033955,UMIN000033955,,,
18486,UMIN000033940,UMIN000033940,,,
18516,UMIN000032531,UMIN000032531,,,
18565,UMIN000033961,UMIN000033961,,,
18569,UMIN000028689,UMIN000028689,,,
18678,UMIN000033796,UMIN000033796,,,
18769,UMIN000033644,UMIN000033644,,,
18964,UMIN000033500,UMIN000033500,,,
19018,UMIN000033454,UMIN000033454,,,
19099,UMIN000033360,UMIN000033360,,,
19147,UMIN000033306,UMIN000033306,,,
19219,UMIN000032684,UMIN000032684,,,
19278,UMIN000032916,UMIN000032916,,,
19500,UMIN000032992,UMIN000032992,,,
19526,UMIN000032954,UMIN000032954,,,
19538,UMIN000032938,UMIN000032938,,,
19573,UMIN000032650,UMIN000032650,,,
19625,UMIN000032746,UMIN000032746,,,
19632,UMIN000032442,UMIN000032442,,,
19679,UMIN000032540,UMIN000032540,,,
19692,UMIN000032819,UMIN000032819,,,
19730,UMIN000032737,UMIN000032737,,,
19768,UMIN000032421,UMIN000032421,,,
19862,JapicCTI-173708,,JapicCTI-173708,,
19863,JapicCTI-173709,,JapicCTI-173709,,
19874,UMIN000032604,UMIN000032604,,,
19955,UMIN000032505,UMIN000032505,,,
20001,UMIN000032458,UMIN000032458,,,
20020,UMIN000031236,UMIN000031236,,,
20021,UMIN000031418,UMIN000031418,,,
20024,UMIN000031244,UMIN000031244,,,
20027,UMIN000032149,UMIN000032149,,,
20185,UMIN000032280,UMIN000032280,,,
20198,UMIN000032282,UMIN000032282,,,
